,W,H,C_IN,KERNEL_SIZE,C_OUT (filters count),STRIDE,PAD,,Layer name
Inception-v3,299,299,3,3,32,2,0,,conv_conv2d
,149,149,32,3,32,1,0,,conv_1_1/conv2d
,147,147,32,3,64,1,1,,conv_2_2/conv2d
,73,73,64,1,80,1,0,,conv_3_3/conv2d
,17,17,768,1,128,1,0,,mixed_4/tower_1_conv_conv2d
,,,,,,,,,
ResNet-50,224,224,3,7,64,2,3,,conv1
,56,56,64,1,64,1,0,,res2a_branch2a
,56,56,256,1,64,1,0,,res2c_branch2a
,14,14,1024,1,256,1,0,,res4c_branch2a
,7,7,2048,1,512,1,0,,res5c_branch2a
,,,,,,,,,
AlexNet,227,227,3,11,96,4,0,,conv1
,27,27,96,5,256,1,2,,conv2
,13,13,256,3,384,1,1,,conv3
,13,13,384,3,384,1,1,,conv4
,13,13,384,3,256,1,1,,conv5
,,,,,,,,,
FCN-16s,500,500,3,3,64,1,1,,conv1_1
,250,250,64,3,128,1,1,,conv2_1
,63,63,256,3,512,1,1,,conv4_1
,,,,,,,,,
GoogLeNet,227,227,3,7,64,2,3,,conv1/7x7_s2
,28,28,192,1,16,1,1,,inception_3a/5x5_reduce
,28,28,16,5,32,1,2,,inception_3a/5x5
,,,,,,,,,
Network-in-Network,224,224,3,11,96,4,0,,conv1
,27,27,96,5,256,1,2,,conv2
,6,6,384,3,1024,1,1,,conv4-1024
,,,,,,,,,
VGG-16,112,112,128,3,128,1,1,,conv2_2