,W,H,C,STRIDE,PAD,,ID
,,,,,,,
MobileNet_1.0_224,112,112,32,1,1,,Conv2d_1
MobileNet_1.0_224,112,112,64,2,0,,Conv2d_2
MobileNet_1.0_224,14,14,512,1,1,,Conv2d_10
MobileNet_1.0_224,14,14,512,1,1,,Conv2d_11
MobileNet_1.0_224,14,14,512,1,1,,Conv2d_7
MobileNet_1.0_224,14,14,512,1,1,,Conv2d_8
MobileNet_1.0_224,14,14,512,1,1,,Conv2d_9
MobileNet_1.0_224,14,14,512,2,0,,Conv2d_12
MobileNet_1.0_224,28,28,256,1,1,,Conv2d_5
MobileNet_1.0_224,28,28,256,2,0,,Conv2d_6
MobileNet_1.0_224,56,56,128,1,1,,Conv2d_3
MobileNet_1.0_224,56,56,128,2,0,,Conv2d_4
MobileNet_1.0_224,7,7,1024,1,1,,Conv2d_13
,,,,,,,
MobileNet_1.0_192,12,12,512,1,1,,Conv2d_10
MobileNet_1.0_192,12,12,512,1,1,,Conv2d_11
MobileNet_1.0_192,12,12,512,1,1,,Conv2d_7
MobileNet_1.0_192,12,12,512,1,1,,Conv2d_8
MobileNet_1.0_192,12,12,512,1,1,,Conv2d_9
MobileNet_1.0_192,12,12,512,2,0,,Conv2d_12
MobileNet_1.0_192,24,24,256,1,1,,Conv2d_5
MobileNet_1.0_192,24,24,256,2,0,,Conv2d_6
MobileNet_1.0_192,48,48,128,1,1,,Conv2d_3
MobileNet_1.0_192,48,48,128,2,0,,Conv2d_4
MobileNet_1.0_192,6,6,1024,1,1,,Conv2d_13
MobileNet_1.0_192,96,96,32,1,1,,Conv2d_1
MobileNet_1.0_192,96,96,64,2,0,,Conv2d_2
,,,,,,,
MobileNet_1.0_160,10,10,512,1,1,,Conv2d_10
MobileNet_1.0_160,10,10,512,1,1,,Conv2d_11
MobileNet_1.0_160,10,10,512,1,1,,Conv2d_7
MobileNet_1.0_160,10,10,512,1,1,,Conv2d_8
MobileNet_1.0_160,10,10,512,1,1,,Conv2d_9
MobileNet_1.0_160,10,10,512,2,0,,Conv2d_12
MobileNet_1.0_160,20,20,256,1,1,,Conv2d_5
MobileNet_1.0_160,20,20,256,2,0,,Conv2d_6
MobileNet_1.0_160,40,40,128,1,1,,Conv2d_3
MobileNet_1.0_160,40,40,128,2,0,,Conv2d_4
MobileNet_1.0_160,5,5,1024,1,1,,Conv2d_13
MobileNet_1.0_160,80,80,32,1,1,,Conv2d_1
MobileNet_1.0_160,80,80,64,2,0,,Conv2d_2
,,,,,,,
MobileNet_1.0_128,16,16,256,1,1,,Conv2d_5
MobileNet_1.0_128,16,16,256,2,0,,Conv2d_6
MobileNet_1.0_128,32,32,128,1,1,,Conv2d_3
MobileNet_1.0_128,32,32,128,2,0,,Conv2d_4
MobileNet_1.0_128,4,4,1024,1,1,,Conv2d_13
MobileNet_1.0_128,64,64,32,1,1,,Conv2d_1
MobileNet_1.0_128,64,64,64,2,0,,Conv2d_2
MobileNet_1.0_128,8,8,512,1,1,,Conv2d_10
MobileNet_1.0_128,8,8,512,1,1,,Conv2d_11
MobileNet_1.0_128,8,8,512,1,1,,Conv2d_7
MobileNet_1.0_128,8,8,512,1,1,,Conv2d_8
MobileNet_1.0_128,8,8,512,1,1,,Conv2d_9
MobileNet_1.0_128,8,8,512,2,0,,Conv2d_12
,,,,,,,
MobileNet_0.75_224,112,112,24,1,1,,Conv2d_1
MobileNet_0.75_224,112,112,48,2,0,,Conv2d_2
MobileNet_0.75_224,14,14,384,1,1,,Conv2d_10
MobileNet_0.75_224,14,14,384,1,1,,Conv2d_11
MobileNet_0.75_224,14,14,384,1,1,,Conv2d_7
MobileNet_0.75_224,14,14,384,1,1,,Conv2d_8
MobileNet_0.75_224,14,14,384,1,1,,Conv2d_9
MobileNet_0.75_224,14,14,384,2,0,,Conv2d_12
MobileNet_0.75_224,28,28,192,1,1,,Conv2d_5
MobileNet_0.75_224,28,28,192,2,0,,Conv2d_6
MobileNet_0.75_224,56,56,96,1,1,,Conv2d_3
MobileNet_0.75_224,56,56,96,2,0,,Conv2d_4
MobileNet_0.75_224,7,7,768,1,1,,Conv2d_13
,,,,,,,
MobileNet_0.75_192,12,12,384,1,1,,Conv2d_10
MobileNet_0.75_192,12,12,384,1,1,,Conv2d_11
MobileNet_0.75_192,12,12,384,1,1,,Conv2d_7
MobileNet_0.75_192,12,12,384,1,1,,Conv2d_8
MobileNet_0.75_192,12,12,384,1,1,,Conv2d_9
MobileNet_0.75_192,12,12,384,2,0,,Conv2d_12
MobileNet_0.75_192,24,24,192,1,1,,Conv2d_5
MobileNet_0.75_192,24,24,192,2,0,,Conv2d_6
MobileNet_0.75_192,48,48,96,1,1,,Conv2d_3
MobileNet_0.75_192,48,48,96,2,0,,Conv2d_4
MobileNet_0.75_192,6,6,768,1,1,,Conv2d_13
MobileNet_0.75_192,96,96,24,1,1,,Conv2d_1
MobileNet_0.75_192,96,96,48,2,0,,Conv2d_2
,,,,,,,
MobileNet_0.75_160,10,10,384,1,1,,Conv2d_10
MobileNet_0.75_160,10,10,384,1,1,,Conv2d_11
MobileNet_0.75_160,10,10,384,1,1,,Conv2d_7
MobileNet_0.75_160,10,10,384,1,1,,Conv2d_8
MobileNet_0.75_160,10,10,384,1,1,,Conv2d_9
MobileNet_0.75_160,10,10,384,2,0,,Conv2d_12
MobileNet_0.75_160,20,20,192,1,1,,Conv2d_5
MobileNet_0.75_160,20,20,192,2,0,,Conv2d_6
MobileNet_0.75_160,40,40,96,1,1,,Conv2d_3
MobileNet_0.75_160,40,40,96,2,0,,Conv2d_4
MobileNet_0.75_160,5,5,768,1,1,,Conv2d_13
MobileNet_0.75_160,80,80,24,1,1,,Conv2d_1
MobileNet_0.75_160,80,80,48,2,0,,Conv2d_2
,,,,,,,
MobileNet_0.75_128,16,16,192,1,1,,Conv2d_5
MobileNet_0.75_128,16,16,192,2,0,,Conv2d_6
MobileNet_0.75_128,32,32,96,1,1,,Conv2d_3
MobileNet_0.75_128,32,32,96,2,0,,Conv2d_4
MobileNet_0.75_128,4,4,768,1,1,,Conv2d_13
MobileNet_0.75_128,64,64,24,1,1,,Conv2d_1
MobileNet_0.75_128,64,64,48,2,0,,Conv2d_2
MobileNet_0.75_128,8,8,384,1,1,,Conv2d_10
MobileNet_0.75_128,8,8,384,1,1,,Conv2d_11
MobileNet_0.75_128,8,8,384,1,1,,Conv2d_7
MobileNet_0.75_128,8,8,384,1,1,,Conv2d_8
MobileNet_0.75_128,8,8,384,1,1,,Conv2d_9
MobileNet_0.75_128,8,8,384,2,0,,Conv2d_12
,,,,,,,
MobileNet_0.50_224,112,112,16,1,1,,Conv2d_1
MobileNet_0.50_224,112,112,32,2,0,,Conv2d_2
MobileNet_0.50_224,14,14,256,1,1,,Conv2d_10
MobileNet_0.50_224,14,14,256,1,1,,Conv2d_11
MobileNet_0.50_224,14,14,256,1,1,,Conv2d_7
MobileNet_0.50_224,14,14,256,1,1,,Conv2d_8
MobileNet_0.50_224,14,14,256,1,1,,Conv2d_9
MobileNet_0.50_224,14,14,256,2,0,,Conv2d_12
MobileNet_0.50_224,28,28,128,1,1,,Conv2d_5
MobileNet_0.50_224,28,28,128,2,0,,Conv2d_6
MobileNet_0.50_224,56,56,64,1,1,,Conv2d_3
MobileNet_0.50_224,56,56,64,2,0,,Conv2d_4
MobileNet_0.50_224,7,7,512,1,1,,Conv2d_13
,,,,,,,
MobileNet_0.50_192,12,12,256,1,1,,Conv2d_10
MobileNet_0.50_192,12,12,256,1,1,,Conv2d_11
MobileNet_0.50_192,12,12,256,1,1,,Conv2d_7
MobileNet_0.50_192,12,12,256,1,1,,Conv2d_8
MobileNet_0.50_192,12,12,256,1,1,,Conv2d_9
MobileNet_0.50_192,12,12,256,2,0,,Conv2d_12
MobileNet_0.50_192,24,24,128,1,1,,Conv2d_5
MobileNet_0.50_192,24,24,128,2,0,,Conv2d_6
MobileNet_0.50_192,48,48,64,1,1,,Conv2d_3
MobileNet_0.50_192,48,48,64,2,0,,Conv2d_4
MobileNet_0.50_192,6,6,512,1,1,,Conv2d_13
MobileNet_0.50_192,96,96,16,1,1,,Conv2d_1
MobileNet_0.50_192,96,96,32,2,0,,Conv2d_2
,,,,,,,
MobileNet_0.50_160,10,10,256,1,1,,Conv2d_10
MobileNet_0.50_160,10,10,256,1,1,,Conv2d_11
MobileNet_0.50_160,10,10,256,1,1,,Conv2d_7
MobileNet_0.50_160,10,10,256,1,1,,Conv2d_8
MobileNet_0.50_160,10,10,256,1,1,,Conv2d_9
MobileNet_0.50_160,10,10,256,2,0,,Conv2d_12
MobileNet_0.50_160,20,20,128,1,1,,Conv2d_5
MobileNet_0.50_160,20,20,128,2,0,,Conv2d_6
MobileNet_0.50_160,40,40,64,1,1,,Conv2d_3
MobileNet_0.50_160,40,40,64,2,0,,Conv2d_4
MobileNet_0.50_160,5,5,512,1,1,,Conv2d_13
MobileNet_0.50_160,80,80,16,1,1,,Conv2d_1
MobileNet_0.50_160,80,80,32,2,0,,Conv2d_2
,,,,,,,
MobileNet_0.50_128,16,16,128,1,1,,Conv2d_5
MobileNet_0.50_128,16,16,128,2,0,,Conv2d_6
MobileNet_0.50_128,32,32,64,1,1,,Conv2d_3
MobileNet_0.50_128,32,32,64,2,0,,Conv2d_4
MobileNet_0.50_128,4,4,512,1,1,,Conv2d_13
MobileNet_0.50_128,64,64,16,1,1,,Conv2d_1
MobileNet_0.50_128,64,64,32,2,0,,Conv2d_2
MobileNet_0.50_128,8,8,256,1,1,,Conv2d_10
MobileNet_0.50_128,8,8,256,1,1,,Conv2d_11
MobileNet_0.50_128,8,8,256,1,1,,Conv2d_7
MobileNet_0.50_128,8,8,256,1,1,,Conv2d_8
MobileNet_0.50_128,8,8,256,1,1,,Conv2d_9
MobileNet_0.50_128,8,8,256,2,0,,Conv2d_12
,,,,,,,
MobileNet_0.25_224,112,112,16,2,0,,Conv2d_2
MobileNet_0.25_224,112,112,8,1,1,,Conv2d_1
MobileNet_0.25_224,14,14,128,1,1,,Conv2d_10
MobileNet_0.25_224,14,14,128,1,1,,Conv2d_11
MobileNet_0.25_224,14,14,128,1,1,,Conv2d_7
MobileNet_0.25_224,14,14,128,1,1,,Conv2d_8
MobileNet_0.25_224,14,14,128,1,1,,Conv2d_9
MobileNet_0.25_224,14,14,128,2,0,,Conv2d_12
MobileNet_0.25_224,28,28,64,1,1,,Conv2d_5
MobileNet_0.25_224,28,28,64,2,0,,Conv2d_6
MobileNet_0.25_224,56,56,32,1,1,,Conv2d_3
MobileNet_0.25_224,56,56,32,2,0,,Conv2d_4
MobileNet_0.25_224,7,7,256,1,1,,Conv2d_13
,,,,,,,
MobileNet_0.25_192,12,12,128,1,1,,Conv2d_10
MobileNet_0.25_192,12,12,128,1,1,,Conv2d_11
MobileNet_0.25_192,12,12,128,1,1,,Conv2d_7
MobileNet_0.25_192,12,12,128,1,1,,Conv2d_8
MobileNet_0.25_192,12,12,128,1,1,,Conv2d_9
MobileNet_0.25_192,12,12,128,2,0,,Conv2d_12
MobileNet_0.25_192,24,24,64,1,1,,Conv2d_5
MobileNet_0.25_192,24,24,64,2,0,,Conv2d_6
MobileNet_0.25_192,48,48,32,1,1,,Conv2d_3
MobileNet_0.25_192,48,48,32,2,0,,Conv2d_4
MobileNet_0.25_192,6,6,256,1,1,,Conv2d_13
MobileNet_0.25_192,96,96,16,2,0,,Conv2d_2
MobileNet_0.25_192,96,96,8,1,1,,Conv2d_1
,,,,,,,
MobileNet_0.25_160,10,10,128,1,1,,Conv2d_10
MobileNet_0.25_160,10,10,128,1,1,,Conv2d_11
MobileNet_0.25_160,10,10,128,1,1,,Conv2d_7
MobileNet_0.25_160,10,10,128,1,1,,Conv2d_8
MobileNet_0.25_160,10,10,128,1,1,,Conv2d_9
MobileNet_0.25_160,10,10,128,2,0,,Conv2d_12
MobileNet_0.25_160,20,20,64,1,1,,Conv2d_5
MobileNet_0.25_160,20,20,64,2,0,,Conv2d_6
MobileNet_0.25_160,40,40,32,1,1,,Conv2d_3
MobileNet_0.25_160,40,40,32,2,0,,Conv2d_4
MobileNet_0.25_160,5,5,256,1,1,,Conv2d_13
MobileNet_0.25_160,80,80,16,2,0,,Conv2d_2
MobileNet_0.25_160,80,80,8,1,1,,Conv2d_1
,,,,,,,
MobileNet_0.25_128,16,16,64,1,1,,Conv2d_5
MobileNet_0.25_128,16,16,64,2,0,,Conv2d_6
MobileNet_0.25_128,32,32,32,1,1,,Conv2d_3
MobileNet_0.25_128,32,32,32,2,0,,Conv2d_4
MobileNet_0.25_128,4,4,256,1,1,,Conv2d_13
MobileNet_0.25_128,64,64,16,2,0,,Conv2d_2
MobileNet_0.25_128,64,64,8,1,1,,Conv2d_1
MobileNet_0.25_128,8,8,128,1,1,,Conv2d_10
MobileNet_0.25_128,8,8,128,1,1,,Conv2d_11
MobileNet_0.25_128,8,8,128,1,1,,Conv2d_7
MobileNet_0.25_128,8,8,128,1,1,,Conv2d_8
MobileNet_0.25_128,8,8,128,1,1,,Conv2d_9
MobileNet_0.25_128,8,8,128,2,0,,Conv2d_12
